,FIPS,2008_perc
666,17151,84.3
667,17153,84.9
668,17155,87.9
669,17157,87.2
670,17159,87.2
671,17161,87.5
672,17163,87.9
673,17165,88.0
674,17167,89.5
675,17169,86.3
676,17171,85.9
677,17173,88.1
678,17175,85.6
679,17177,89.2
680,17179,89.7
681,17181,86.2
682,17183,87.0
683,17185,86.8
684,17187,88.3
685,17189,88.5
686,17191,85.6
687,17193,86.0
688,17195,87.6
689,17197,89.1
690,17199,87.2
691,17201,87.1
692,17203,90.7
693,18001,82.9
694,18003,85.5
695,18005,85.4
696,18007,82.5
697,18009,85.2
698,18011,88.7
699,18013,82.6
700,18015,84.1
701,18017,83.0
702,18019,84.3
703,18021,84.8
704,18023,81.6
705,18025,83.0
706,18027,78.5
707,18029,87.0
708,18031,85.3
709,18033,86.3
710,18035,85.3
711,18037,88.0
712,18039,79.5
713,18041,83.9
714,18043,86.1
715,18045,84.9
716,18047,84.7
717,18049,83.2
718,18051,87.3
719,18053,85.0
720,18055,82.6
721,18057,91.8
722,18059,88.9
723,18061,85.7
724,18063,88.8
725,18065,85.3
726,18067,86.7
727,18069,85.9
728,18071,83.4
729,18073,85.1
730,18075,83.3
731,18077,86.3
732,18079,83.5
733,18081,86.3
734,18083,84.3
735,18085,83.5
736,18087,74.6
737,18089,84.0
738,18091,84.5
739,18093,84.1
740,18095,83.0
741,18097,83.7
742,18099,81.7
743,18101,83.7
744,18103,85.5
745,18105,85.1
746,18107,85.3
747,18109,85.2
748,18111,82.4
749,18113,82.9
750,18115,84.9
751,18117,83.9
752,18119,83.3
753,18121,82.5
754,18123,84.8
755,18125,86.1
756,18127,86.7
757,18129,88.2
758,18131,82.9
759,18133,85.6
760,18135,83.2
761,18137,85.9
762,18139,83.8
763,18141,84.6
764,18143,83.6
765,18145,85.0
766,18147,86.0
767,18149,82.2
768,18151,84.6
769,18153,82.5
770,18155,82.4
771,18157,85.4
772,18159,86.1
773,18161,82.5
774,18163,86.3
775,18165,85.4
776,18167,84.3
777,18169,85.4
778,18171,84.5
779,18173,87.1
780,18175,82.3
781,18177,83.0
782,18179,86.6
783,18181,81.9
784,18183,87.5
785,19001,89.5
786,19003,88.3
787,19005,86.5
788,19007,88.9
789,19009,86.2
790,19011,90.8
791,19013,89.8
792,19015,90.4
793,19017,91.7
794,19019,88.4
795,19021,85.6
796,19023,90.3
797,19025,89.2
798,19027,91.0
799,19029,88.2
800,19031,90.0
801,19033,90.5
802,19035,89.3
803,19037,88.8
804,19039,88.5
805,19041,88.8
806,19043,88.8
807,19045,90.7
808,19047,86.3
809,19049,91.9
810,19051,85.2
811,19053,88.0
812,19055,89.8
813,19057,90.1
814,19059,90.1
815,19061,91.3
816,19063,86.9
817,19065,89.4
818,19067,89.0
819,19069,86.0
820,19071,89.3
821,19073,87.4
822,19075,90.5
823,19077,89.1
824,19079,90.2
825,19081,89.5
826,19083,88.7
827,19085,89.5
828,19087,93.3
829,19089,87.4
830,19091,89.1
831,19093,88.5
832,19095,91.7
833,19097,88.2
834,19099,90.3
835,19101,88.9
836,19103,91.4
837,19105,89.4
838,19107,88.3
839,19109,89.9
840,19111,89.7
841,19113,91.7
842,19115,86.6
843,19117,87.1
844,19119,88.6
845,19121,89.8
846,19123,89.5
847,19125,91.8
848,19127,88.1
849,19129,90.1
850,19131,88.7
851,19133,87.8
852,19135,88.2
853,19137,89.3
854,19139,89.7
855,19141,87.8
856,19143,85.8
857,19145,89.9
858,19147,88.0
859,19149,91.1
860,19151,87.8
861,19153,90.9
862,19155,89.3
863,19157,90.8
864,19159,86.6
865,19161,87.7
866,19163,89.7
867,19165,90.8
868,19167,89.4
869,19169,90.7
870,19171,88.6
871,19173,86.5
872,19175,90.0
873,19177,87.6
874,19179,89.7
875,19181,91.8
876,19183,88.1
877,19185,88.2
878,19187,90.1
879,19189,91.4
880,19191,90.6
881,19193,87.3
882,19195,89.0
883,19197,88.2
884,20001,87.1
885,20003,83.8
886,20005,87.3
887,20007,84.7
888,20009,83.0
889,20011,87.2
890,20013,84.6
891,20015,88.0
892,20017,83.6
893,20019,80.9
894,20021,86.1
895,20023,83.8
896,20025,83.5
897,20027,85.1
898,20029,86.3
899,20031,87.4
900,20033,81.9
901,20035,87.4
902,20037,86.5
903,20039,82.4
904,20041,86.9
