,state,county,politics,color
57,New York,Staten Island,"[['Dem', 63.6, 83341], ['GOP', 35.3, 46277], ['Lib', 0.4, 508], ['Oth', 0.4, 492], ['Grn', 0.3, 432]]",democrat
58,New York,Livingston,"[['Dem', 54.6, 12587], ['GOP', 43.6, 10066], ['Lib', 0.8, 193], ['Grn', 0.6, 138], ['Oth', 0.3, 78]]",democrat
59,New York,Ontario,"[['Dem', 56.9, 23737], ['GOP', 41.2, 17178], ['Lib', 0.8, 344], ['Grn', 0.6, 271], ['Oth', 0.5, 201]]",democrat
60,New York,Queens,"[['Dem', 83.9, 401446], ['GOP', 15.0, 71735], ['Grn', 0.5, 2605], ['Lib', 0.3, 1658], ['Oth', 0.3, 1306]]",democrat
61,New York,Otsego,"[['Dem', 65.2, 13844], ['GOP', 33.3, 7068], ['Grn', 0.8, 166], ['Lib', 0.5, 97], ['Oth', 0.3, 67]]",democrat
62,North Dakota,Walsh,"[['Dem', 55.4, 2813], ['GOP', 44.6, 2266]]",democrat
63,North Dakota,Stutsman,"[['Dem', 50.9, 4775], ['GOP', 49.1, 4612]]",democrat
64,North Dakota,Stark,"[['GOP', 64.3, 7384], ['Dem', 35.7, 4099]]",republican
65,North Dakota,Griggs,"[['Dem', 52.8, 702], ['GOP', 47.2, 628]]",democrat
66,North Dakota,McHenry,"[['Dem', 50.2, 1330], ['GOP', 49.8, 1321]]",democrat
67,North Dakota,Rolette,"[['Dem', 80.3, 3660], ['GOP', 19.7, 900]]",democrat
68,North Dakota,Richland,"[['Dem', 58.7, 4433], ['GOP', 41.3, 3121]]",democrat
69,North Dakota,McIntosh,"[['GOP', 57.4, 866], ['Dem', 42.6, 644]]",republican
70,North Dakota,Ransom,"[['Dem', 68.9, 1667], ['GOP', 31.1, 754]]",democrat
71,North Dakota,Golden Valley,"[['GOP', 71.4, 658], ['Dem', 28.6, 264]]",republican
72,North Dakota,Mountrail,"[['Dem', 51.0, 1742], ['GOP', 49.0, 1672]]",democrat
73,North Dakota,Nelson,"[['Dem', 59.8, 992], ['GOP', 40.2, 668]]",democrat
74,North Dakota,Ward,"[['GOP', 55.3, 13839], ['Dem', 44.7, 11197]]",republican
75,North Dakota,Eddy,"[['Dem', 60.4, 690], ['GOP', 39.6, 453]]",democrat
76,North Dakota,Adams,"[['GOP', 63.0, 804], ['Dem', 37.0, 473]]",republican
77,North Dakota,Towner,"[['Dem', 59.6, 693], ['GOP', 40.4, 469]]",democrat
78,North Dakota,Morton,"[['GOP', 53.0, 7124], ['Dem', 47.0, 6322]]",republican
79,North Dakota,Logan,"[['GOP', 58.4, 603], ['Dem', 41.6, 430]]",republican
80,North Dakota,Pembina,"[['Dem', 51.4, 1664], ['GOP', 48.6, 1573]]",democrat
81,North Dakota,Emmons,"[['GOP', 61.8, 1147], ['Dem', 38.2, 709]]",republican
82,North Dakota,Hettinger,"[['GOP', 62.3, 842], ['Dem', 37.7, 509]]",republican
83,North Dakota,Cavalier,"[['Dem', 52.8, 1087], ['GOP', 47.2, 973]]",democrat
84,North Dakota,Kidder,"[['GOP', 53.5, 706], ['Dem', 46.5, 613]]",republican
85,North Dakota,Barnes,"[['Dem', 57.8, 3175], ['GOP', 42.2, 2318]]",democrat
86,North Dakota,Sheridan,"[['GOP', 64.2, 519], ['Dem', 35.8, 290]]",republican
